signal_time,entry_time,side,level_name,level_value,fut_signal_close,fut_entry,fut_sl,fut_tp,signal1_idx,signal2_idx,entry_idx,lot1_exit_time,lot1_exit_price,lot1_exit_reason,lot1_pnl_points,lot2_exit_time,lot2_exit_price,lot2_exit_reason,lot2_pnl_points,lot2_final_sl,mfe_points,mae_points,total_points_2lots,effective_points_per_lot,risk_points,tp1_points,tp1_rr,opt_error,opt_symbol,opt_token,opt_expiry,opt_strike,opt_type,lot_size,opt_entry_time_used,opt_entry_price_raw,opt_lot1_exit_time_used,opt_lot1_exit_price_raw,opt_lot2_exit_time_used,opt_lot2_exit_price_raw,opt_lot1_entry_price_exec,opt_lot1_exit_price_exec,opt_lot2_entry_price_exec,opt_lot2_exit_price_exec,opt_lot1_gross_pnl_rupees,opt_lot2_gross_pnl_rupees,opt_gross_total_pnl_rupees_2lots,opt_lot1_pnl_after_slippage_rupees,opt_lot2_pnl_after_slippage_rupees,opt_total_pnl_after_slippage_rupees_2lots,opt_lot1_charges_rupees,opt_lot2_charges_rupees,opt_total_charges_rupees_2lots,opt_lot1_net_pnl_rupees,opt_lot2_net_pnl_rupees,opt_net_total_pnl_rupees_2lots,opt_net_effective_pnl_per_lot_rupees
2025-12-01 13:45:00+05:30,2025-12-01 13:55:00+05:30,SHORT,S1,26661.5,26660.0,26660.0,26666.0,26620.0,279,280,281,2025-12-01 14:00:00+05:30,26666.0,SL,-6.0,2025-12-01 14:00:00+05:30,26666.0,INITIAL_SL,-6.0,26666.0,0.0,20.0,-12.0,-6.0,6.0,40.0,6.666666666666667,No option candles returned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-02 10:40:00+05:30,2025-12-02 10:50:00+05:30,SHORT,S1,26573.7,26559.5,26564.9,26577.2,26524.9,317,318,319,2025-12-02 10:50:00+05:30,26577.2,SL,-12.299999999999272,2025-12-02 10:50:00+05:30,26577.2,INITIAL_SL,-12.299999999999272,26577.2,0.0,14.399999999997815,-24.599999999998545,-12.299999999999272,12.299999999999272,40.0,3.2520325203253955,,NIFTY26FEB26550PE,16628994.0,2026-02-24,26550.0,PE,65.0,2025-12-02 14:45:00+05:30,561.25,2025-12-02 14:45:00+05:30,561.25,2025-12-02 14:45:00+05:30,561.25,561.75,560.75,561.75,560.75,0.0,0.0,0.0,-65.0,-65.0,-130.0,60.0,60.0,120.0,-125.0,-125.0,-250.0,-125.0
2025-12-02 11:10:00+05:30,2025-12-02 11:20:00+05:30,SHORT,S1,26573.7,26562.0,26564.9,26579.9,26524.9,323,324,325,2025-12-02 14:30:00+05:30,26524.9,TP1,40.0,2025-12-02 14:30:00+05:30,26532.0,TRAIL_SL,32.900000000001455,26532.0,44.900000000001455,1.5,72.90000000000146,36.45000000000073,15.0,40.0,2.6666666666666665,,NIFTY26FEB26550PE,16628994.0,2026-02-24,26550.0,PE,65.0,2025-12-02 14:45:00+05:30,561.25,2025-12-02 14:45:00+05:30,561.25,2025-12-02 14:45:00+05:30,561.25,561.75,560.75,561.75,560.75,0.0,0.0,0.0,-65.0,-65.0,-130.0,60.0,60.0,120.0,-125.0,-125.0,-250.0,-125.0
2025-12-03 09:30:00+05:30,2025-12-03 09:40:00+05:30,SHORT,S2,26428.066666666666,26410.0,26409.9,26450.8,26369.9,378,379,380,2025-12-03 15:10:00+05:30,26450.8,SL,-40.89999999999782,2025-12-03 15:10:00+05:30,26450.8,INITIAL_SL,-40.89999999999782,26450.8,39.900000000001455,50.09999999999855,-81.79999999999563,-40.89999999999782,40.89999999999782,40.0,0.977995110024502,,NIFTY26FEB26400PE,16623106.0,2026-02-24,26400.0,PE,65.0,2025-12-03 09:40:00+05:30,526.85,2025-12-03 15:10:00+05:30,514.35,2025-12-03 15:10:00+05:30,514.35,527.35,513.85,527.35,513.85,-812.5,-812.5,-1625.0,-877.5,-877.5,-1755.0,60.0,60.0,120.0,-937.5,-937.5,-1875.0,-937.5
2025-12-05 11:00:00+05:30,2025-12-05 11:10:00+05:30,LONG,R1,26562.866666666672,26579.0,26579.0,26557.0,26619.0,546,547,548,2025-12-05 12:25:00+05:30,26619.0,TP1,40.0,2025-12-05 13:00:00+05:30,26641.1,TRAIL_SL,62.09999999999855,26641.1,79.90000000000146,3.0,102.09999999999854,51.04999999999927,22.0,40.0,1.818181818181818,,NIFTY26FEB26600CE,16629250.0,2026-02-24,26600.0,CE,65.0,2025-12-05 11:10:00+05:30,487.8,2025-12-05 12:25:00+05:30,515.1,2025-12-05 13:00:00+05:30,534.7,488.3,514.6,488.3,534.2,1774.5000000000007,3048.5000000000023,4823.000000000003,1709.5000000000007,2983.5000000000023,4693.000000000003,60.0,60.0,120.0,1649.5000000000007,2923.5000000000023,4573.000000000003,2286.5000000000014
2025-12-08 13:30:00+05:30,2025-12-08 13:40:00+05:30,SHORT,S2,26400.0,26384.7,26389.9,26429.0,26349.9,651,652,653,2025-12-08 15:25:00+05:30,26370.0,EOD,19.90000000000145,2025-12-08 15:25:00+05:30,26370.0,EOD,19.90000000000145,26429.0,24.90000000000145,18.899999999997817,39.80000000000291,19.90000000000145,39.09999999999855,40.0,1.0230179028133373,,NIFTY26FEB26400PE,16623106.0,2026-02-24,26400.0,PE,65.0,2025-12-08 13:40:00+05:30,519.05,2025-12-08 15:25:00+05:30,518.95,2025-12-08 15:25:00+05:30,518.95,519.55,518.45,519.55,518.45,-6.499999999994088,-6.499999999994088,-12.999999999988177,-71.49999999999409,-71.49999999999409,-142.99999999998818,60.0,60.0,120.0,-131.4999999999941,-131.4999999999941,-262.9999999999882,-131.4999999999941
2025-12-08 13:55:00+05:30,2025-12-08 14:05:00+05:30,SHORT,S2,26400.0,26395.0,26383.9,26402.8,26343.9,656,657,658,2025-12-08 14:45:00+05:30,26402.8,SL,-18.899999999997817,2025-12-08 14:45:00+05:30,26402.8,INITIAL_SL,-18.899999999997817,26402.8,18.90000000000145,21.0,-37.799999999995634,-18.899999999997817,18.899999999997817,40.0,2.116402116402361,,NIFTY26FEB26400PE,16623106.0,2026-02-24,26400.0,PE,65.0,2025-12-08 14:05:00+05:30,516.0,2025-12-08 14:45:00+05:30,511.9,2025-12-08 14:45:00+05:30,511.9,516.5,511.4,516.5,511.4,-266.5000000000015,-266.5000000000015,-533.000000000003,-331.5000000000015,-331.5000000000015,-663.000000000003,60.0,60.0,120.0,-391.5000000000015,-391.5000000000015,-783.000000000003,-391.5000000000015
2025-12-09 09:30:00+05:30,2025-12-09 09:40:00+05:30,SHORT,S1,26271.099999999995,26237.0,26225.5,26272.4,26185.5,678,679,680,2025-12-09 10:15:00+05:30,26272.4,SL,-46.900000000001455,2025-12-09 10:15:00+05:30,26272.4,INITIAL_SL,-46.900000000001455,26272.4,31.5,63.5,-93.80000000000292,-46.900000000001455,46.900000000001455,40.0,0.8528784648187369,,NIFTY26FEB26250PE,16614658.0,2026-02-24,26250.0,PE,65.0,2025-12-09 10:35:00+05:30,530.7,2025-12-09 10:35:00+05:30,530.7,2025-12-09 10:35:00+05:30,530.7,531.2,530.2,531.2,530.2,0.0,0.0,0.0,-65.0,-65.0,-130.0,60.0,60.0,120.0,-125.0,-125.0,-250.0,-125.0
2025-12-10 14:20:00+05:30,2025-12-10 14:30:00+05:30,SHORT,S1,26181.200000000004,26178.0,26168.6,26191.4,26128.6,811,812,813,2025-12-10 14:30:00+05:30,26191.4,SL,-22.80000000000291,2025-12-10 14:30:00+05:30,26191.4,INITIAL_SL,-22.80000000000291,26191.4,3.399999999997817,34.60000000000218,-45.60000000000582,-22.80000000000291,22.80000000000291,40.0,1.7543859649120568,,NIFTY26FEB26150PE,16609026.0,2026-02-24,26150.0,PE,65.0,2025-12-10 14:30:00+05:30,446.2,2025-12-10 14:30:00+05:30,446.2,2025-12-10 14:30:00+05:30,446.2,446.7,445.7,446.7,445.7,0.0,0.0,0.0,-65.0,-65.0,-130.0,60.0,60.0,120.0,-125.0,-125.0,-250.0,-125.0
2025-12-12 11:10:00+05:30,2025-12-12 11:20:00+05:30,LONG,R1,26392.666666666664,26403.5,26396.3,26390.0,26436.3,923,924,925,2025-12-12 12:35:00+05:30,26436.3,TP1,40.0,2025-12-12 12:45:00+05:30,26437.6,TRAIL_SL,41.29999999999927,26437.6,43.70000000000073,0.0,81.29999999999927,40.64999999999964,6.299999999999272,40.0,6.3492063492070825,,NIFTY26FEB26400CE,16622338.0,2026-02-24,26400.0,CE,65.0,2025-12-12 11:20:00+05:30,472.0,2025-12-12 12:35:00+05:30,489.4,2025-12-12 12:45:00+05:30,489.4,472.5,488.9,472.5,488.9,1130.9999999999986,1130.9999999999986,2261.9999999999973,1065.9999999999986,1065.9999999999986,2131.9999999999973,60.0,60.0,120.0,1005.9999999999986,1005.9999999999986,2011.9999999999973,1005.9999999999986
2025-12-17 11:55:00+05:30,2025-12-17 12:05:00+05:30,SHORT,S1,26208.333333333336,26205.0,26186.1,26231.8,26146.1,1157,1158,1159,2025-12-17 15:25:00+05:30,26225.0,EOD,-38.900000000001455,2025-12-17 15:25:00+05:30,26225.0,EOD,-38.900000000001455,26231.8,9.099999999998545,38.900000000001455,-77.80000000000291,-38.900000000001455,45.70000000000073,40.0,0.8752735229759161,,NIFTY26FEB26200PE,16609538.0,2026-02-24,26200.0,PE,65.0,2025-12-17 12:05:00+05:30,462.4,2025-12-17 15:25:00+05:30,444.05,2025-12-17 15:25:00+05:30,444.05,462.9,443.55,462.9,443.55,-1192.7499999999977,-1192.7499999999977,-2385.4999999999955,-1257.7499999999977,-1257.7499999999977,-2515.4999999999955,60.0,60.0,120.0,-1317.7499999999977,-1317.7499999999977,-2635.4999999999955,-1317.7499999999977
