variant,trades,wins,losses,win_rate_%,net_pnl,avg_pnl,median_pnl,avg_win,avg_loss,max_win,max_loss,profit_factor
Exclude SHORT S2 + Cutoff <= 14:00,16,8,8,50.0,20518.0,1282.38,770.5,3867.75,-1303.0,6344.25,-4800.0,2.97
Exclude SHORT S2 + Cutoff <= 14:15,16,8,8,50.0,20518.0,1282.38,770.5,3867.75,-1303.0,6344.25,-4800.0,2.97
Exclude SHORT S2 + Cutoff <= 14:30,18,8,10,44.44,18978.0,1054.33,-250.0,3867.75,-1196.4,6344.25,-4800.0,2.59
Exclude SHORT S2,19,8,11,42.11,17239.5,907.34,-250.0,3867.75,-1245.68,6344.25,-4800.0,2.26
Cutoff <= 14:00,24,10,14,41.67,15937.5,664.06,-250.0,3745.55,-1537.0,6344.25,-4800.0,1.74
Cutoff <= 14:15,25,10,15,40.0,15154.5,606.18,-250.0,3745.55,-1486.73,6344.25,-4800.0,1.68
Baseline,29,11,18,37.93,15136.0,521.93,-250.0,3701.41,-1421.08,6344.25,-4800.0,1.59
Only SHORT S1 + Cutoff <= 14:00,11,5,6,45.45,13994.0,1272.18,-250.0,4513.2,-1428.67,6344.25,-4800.0,2.63
Only SHORT S1 + Cutoff <= 14:15,11,5,6,45.45,13994.0,1272.18,-250.0,4513.2,-1428.67,6344.25,-4800.0,2.63
Only SHORT S1,12,5,7,41.67,13744.0,1145.33,-250.0,4513.2,-1260.29,6344.25,-4800.0,2.56
Only SHORT S1 + Cutoff <= 14:30,12,5,7,41.67,13744.0,1145.33,-250.0,4513.2,-1260.29,6344.25,-4800.0,2.56
Cutoff <= 14:30,27,10,17,37.04,13614.5,504.24,-250.0,3745.55,-1402.41,6344.25,-4800.0,1.57
Only SHORTs,22,8,14,36.36,11640.5,529.11,-250.0,4042.44,-1478.5,6344.25,-4800.0,1.56
Only LONGs,7,3,4,42.86,3495.5,499.36,-926.0,2792.0,-1220.13,4573.0,-1738.5,1.72
