signal_time,entry_time,side,level_name,level_value,fut_signal_close,fut_entry,fut_sl,fut_tp,signal1_idx,signal2_idx,entry_idx,lot1_exit_time,lot1_exit_price,lot1_exit_reason,lot1_pnl_points,lot2_exit_time,lot2_exit_price,lot2_exit_reason,lot2_pnl_points,lot2_final_sl,mfe_points,mae_points,total_points_2lots,effective_points_per_lot,risk_points,tp1_points,tp1_rr,opt_error,opt_symbol,opt_token,opt_expiry,opt_strike,opt_type,lot_size,opt_entry_time_used,opt_entry_price_raw,opt_lot1_exit_time_used,opt_lot1_exit_price_raw,opt_lot2_exit_time_used,opt_lot2_exit_price_raw,opt_lot1_entry_price_exec,opt_lot1_exit_price_exec,opt_lot2_entry_price_exec,opt_lot2_exit_price_exec,opt_lot1_gross_pnl_rupees,opt_lot2_gross_pnl_rupees,opt_gross_total_pnl_rupees_2lots,opt_lot1_pnl_after_slippage_rupees,opt_lot2_pnl_after_slippage_rupees,opt_total_pnl_after_slippage_rupees_2lots,opt_lot1_charges_rupees,opt_lot2_charges_rupees,opt_total_charges_rupees_2lots,opt_lot1_net_pnl_rupees,opt_lot2_net_pnl_rupees,opt_net_total_pnl_rupees_2lots,opt_net_effective_pnl_per_lot_rupees,entry_hour,entry_minute,entry_hhmm
2025-12-02 10:40:00+05:30,2025-12-02 10:50:00+05:30,SHORT,S1,26573.7,26559.5,26564.9,26577.2,26524.9,317,318,319,2025-12-02 10:50:00+05:30,26577.2,SL,-12.299999999999272,2025-12-02 10:50:00+05:30,26577.2,INITIAL_SL,-12.299999999999272,26577.2,0.0,14.399999999997815,-24.599999999998545,-12.299999999999272,12.299999999999272,40.0,3.2520325203253955,,NIFTY26FEB26550PE,16628994.0,2026-02-24,26550.0,PE,65.0,2025-12-02 14:45:00+05:30,561.25,2025-12-02 14:45:00+05:30,561.25,2025-12-02 14:45:00+05:30,561.25,561.75,560.75,561.75,560.75,0.0,0.0,0.0,-65.0,-65.0,-130.0,60.0,60.0,120.0,-125.0,-125.0,-250.0,-125.0,10,50,1050
2025-12-02 11:10:00+05:30,2025-12-02 11:20:00+05:30,SHORT,S1,26573.7,26562.0,26564.9,26579.9,26524.9,323,324,325,2025-12-02 14:30:00+05:30,26524.9,TP1,40.0,2025-12-02 14:30:00+05:30,26532.0,TRAIL_SL,32.900000000001455,26532.0,44.900000000001455,1.5,72.90000000000146,36.45000000000073,15.0,40.0,2.6666666666666665,,NIFTY26FEB26550PE,16628994.0,2026-02-24,26550.0,PE,65.0,2025-12-02 14:45:00+05:30,561.25,2025-12-02 14:45:00+05:30,561.25,2025-12-02 14:45:00+05:30,561.25,561.75,560.75,561.75,560.75,0.0,0.0,0.0,-65.0,-65.0,-130.0,60.0,60.0,120.0,-125.0,-125.0,-250.0,-125.0,11,20,1120
2025-12-05 11:00:00+05:30,2025-12-05 11:10:00+05:30,LONG,R1,26562.866666666672,26579.0,26579.0,26557.0,26619.0,546,547,548,2025-12-05 12:25:00+05:30,26619.0,TP1,40.0,2025-12-05 13:00:00+05:30,26641.1,TRAIL_SL,62.09999999999855,26641.1,79.90000000000146,3.0,102.09999999999854,51.04999999999927,22.0,40.0,1.818181818181818,,NIFTY26FEB26600CE,16629250.0,2026-02-24,26600.0,CE,65.0,2025-12-05 11:10:00+05:30,487.8,2025-12-05 12:25:00+05:30,515.1,2025-12-05 13:00:00+05:30,534.7,488.3,514.6,488.3,534.2,1774.500000000001,3048.5000000000023,4823.000000000003,1709.500000000001,2983.5000000000023,4693.000000000003,60.0,60.0,120.0,1649.500000000001,2923.5000000000023,4573.000000000003,2286.5000000000014,11,10,1110
2025-12-09 09:30:00+05:30,2025-12-09 09:40:00+05:30,SHORT,S1,26271.099999999995,26237.0,26225.5,26272.4,26185.5,678,679,680,2025-12-09 10:15:00+05:30,26272.4,SL,-46.900000000001455,2025-12-09 10:15:00+05:30,26272.4,INITIAL_SL,-46.900000000001455,26272.4,31.5,63.5,-93.80000000000292,-46.900000000001455,46.900000000001455,40.0,0.8528784648187369,,NIFTY26FEB26250PE,16614658.0,2026-02-24,26250.0,PE,65.0,2025-12-09 10:35:00+05:30,530.7,2025-12-09 10:35:00+05:30,530.7,2025-12-09 10:35:00+05:30,530.7,531.2,530.2,531.2,530.2,0.0,0.0,0.0,-65.0,-65.0,-130.0,60.0,60.0,120.0,-125.0,-125.0,-250.0,-125.0,9,40,940
2025-12-10 14:20:00+05:30,2025-12-10 14:30:00+05:30,SHORT,S1,26181.200000000004,26178.0,26168.6,26191.4,26128.6,811,812,813,2025-12-10 14:30:00+05:30,26191.4,SL,-22.80000000000291,2025-12-10 14:30:00+05:30,26191.4,INITIAL_SL,-22.80000000000291,26191.4,3.399999999997817,34.60000000000218,-45.60000000000582,-22.80000000000291,22.80000000000291,40.0,1.7543859649120568,,NIFTY26FEB26150PE,16609026.0,2026-02-24,26150.0,PE,65.0,2025-12-10 14:30:00+05:30,446.2,2025-12-10 14:30:00+05:30,446.2,2025-12-10 14:30:00+05:30,446.2,446.7,445.7,446.7,445.7,0.0,0.0,0.0,-65.0,-65.0,-130.0,60.0,60.0,120.0,-125.0,-125.0,-250.0,-125.0,14,30,1430
2025-12-12 11:10:00+05:30,2025-12-12 11:20:00+05:30,LONG,R1,26392.666666666664,26403.5,26396.3,26390.0,26436.3,923,924,925,2025-12-12 12:35:00+05:30,26436.3,TP1,40.0,2025-12-12 12:45:00+05:30,26437.6,TRAIL_SL,41.29999999999927,26437.6,43.70000000000073,0.0,81.29999999999927,40.64999999999964,6.299999999999272,40.0,6.3492063492070825,,NIFTY26FEB26400CE,16622338.0,2026-02-24,26400.0,CE,65.0,2025-12-12 11:20:00+05:30,472.0,2025-12-12 12:35:00+05:30,489.4,2025-12-12 12:45:00+05:30,489.4,472.5,488.9,472.5,488.9,1130.9999999999986,1130.9999999999986,2261.9999999999973,1065.9999999999986,1065.9999999999986,2131.9999999999973,60.0,60.0,120.0,1005.9999999999986,1005.9999999999986,2011.9999999999973,1005.9999999999986,11,20,1120
2025-12-17 11:55:00+05:30,2025-12-17 12:05:00+05:30,SHORT,S1,26208.333333333336,26205.0,26186.1,26231.8,26146.1,1157,1158,1159,2025-12-17 15:25:00+05:30,26225.0,EOD,-38.900000000001455,2025-12-17 15:25:00+05:30,26225.0,EOD,-38.900000000001455,26231.8,9.099999999998545,38.900000000001455,-77.80000000000291,-38.900000000001455,45.70000000000073,40.0,0.8752735229759161,,NIFTY26FEB26200PE,16609538.0,2026-02-24,26200.0,PE,65.0,2025-12-17 12:05:00+05:30,462.4,2025-12-17 15:25:00+05:30,444.05,2025-12-17 15:25:00+05:30,444.05,462.9,443.55,462.9,443.55,-1192.7499999999975,-1192.7499999999975,-2385.4999999999955,-1257.7499999999975,-1257.7499999999975,-2515.4999999999955,60.0,60.0,120.0,-1317.7499999999975,-1317.7499999999975,-2635.4999999999955,-1317.7499999999975,12,5,1205
2025-12-18 09:40:00+05:30,2025-12-18 09:50:00+05:30,SHORT,S1,26166.666666666664,26147.0,26134.0,26167.8,26094.0,1205,1206,1207,2025-12-18 10:10:00+05:30,26167.8,SL,-33.79999999999927,2025-12-18 10:10:00+05:30,26167.8,INITIAL_SL,-33.79999999999927,26167.8,3.0,51.0,-67.59999999999854,-33.79999999999927,33.79999999999927,40.0,1.1834319526627477,,NIFTY26FEB26150PE,16609026.0,2026-02-24,26150.0,PE,65.0,2025-12-18 09:50:00+05:30,422.45,2025-12-18 10:10:00+05:30,467.35,2025-12-18 10:10:00+05:30,467.35,422.95,466.85,422.95,466.85,2918.5000000000023,2918.5000000000023,5837.000000000005,2853.5000000000023,2853.5000000000023,5707.000000000005,60.0,60.0,120.0,2793.5000000000023,2793.5000000000023,5587.000000000005,2793.5000000000023,9,50,950
2025-12-23 14:15:00+05:30,2025-12-23 14:25:00+05:30,LONG,R1,26561.36666666666,26573.0,26584.0,26559.0,26624.0,1485,1486,1487,2025-12-23 14:30:00+05:30,26559.0,SL,-25.0,2025-12-23 14:30:00+05:30,26559.0,INITIAL_SL,-25.0,26559.0,0.0,25.90000000000145,-50.0,-25.0,25.0,40.0,1.6,,NIFTY26FEB26600CE,16629250.0,2026-02-24,26600.0,CE,65.0,2025-12-23 14:25:00+05:30,417.0,2025-12-23 14:30:00+05:30,409.0,2025-12-23 14:30:00+05:30,409.0,417.5,408.5,417.5,408.5,-520.0,-520.0,-1040.0,-585.0,-585.0,-1170.0,60.0,60.0,120.0,-645.0,-645.0,-1290.0,-645.0,14,25,1425
2025-12-24 10:10:00+05:30,2025-12-24 10:20:00+05:30,LONG,R1,26580.333333333336,26585.0,26585.5,26568.2,26625.5,1511,1512,1513,2025-12-24 10:45:00+05:30,26568.2,SL,-17.299999999999272,2025-12-24 10:45:00+05:30,26568.2,INITIAL_SL,-17.299999999999272,26568.2,1.5,27.5,-34.599999999998545,-17.299999999999272,17.299999999999272,40.0,2.312138728323797,,NIFTY26FEB26600CE,16629250.0,2026-02-24,26600.0,CE,65.0,2025-12-24 10:20:00+05:30,413.2,2025-12-24 10:45:00+05:30,408.0,2025-12-24 10:45:00+05:30,408.0,413.7,407.5,413.7,407.5,-337.99999999999926,-337.99999999999926,-675.9999999999985,-402.99999999999926,-402.99999999999926,-805.9999999999985,60.0,60.0,120.0,-462.99999999999926,-462.99999999999926,-925.9999999999984,-462.99999999999926,10,20,1020
